Tanggal,Tn,Tx,Tavg,RH_avg,ss,ff_x,ddd_x,ff_avg,ddd_car,bulan,RR
01-02-2010,24.6,30.2,27.3,82,3.6,7,220,2,7,2,0.6
02-02-2010,24.4,32,27.5,79,3.8,7,230,2,7,2,12.2
03-02-2010,24.8,31.5,28,81,3.8,7,240,1,7,2,2.5
04-02-2010,25.7,32.6,29.1,80,6.2,9,200,2,4,2,0.8
05-02-2010,25.3,32.4,28.1,80,5.9,9,240,2,4,2,1.7
06-02-2010,24.7,29.4,26.5,85,0.1,7,240,2,7,2,0.2
07-02-2010,25,32.2,27.5,83,3.3,7,120,2,5,2,16.1
08-02-2010,25.2,32.5,27.4,81,5.9,10,100,2,8,2,8.33913043478261
09-02-2010,25,32,27.2,82,5.4,6,100,2,3,2,0
10-02-2010,24.2,32.2,28.1,82,8,7,200,2,5,2,7.7
11-02-2010,24,32.6,29.3,78,4.1,6,130,2,4,2,8.33913043478261
12-02-2010,26,33,28.2,82,3.9,11,340,1,7,2,1.8
13-02-2010,25,32.4,27.2,83,2.6,12,220,2,7,2,1
14-02-2010,24,32,26.8,87,5.1,9,315,1,4,2,67.5
15-02-2010,23.9,31.2,27.5,82,7.3,8,130,2,3,2,8.1
16-02-2010,24.6,32,28.3,80,8,6,150,2,7,2,0
17-02-2010,25.5,32.2,27.9,83,3.8,9,160,2,8,2,8.33913043478261
18-02-2010,25.6,32.2,28,84,7.5,8,140,2,8,2,8.33913043478261
19-02-2010,25.6,27.4,26.1,91,0,6,290,1,5,2,24.2
20-02-2010,24,30.8,26.9,86,1.4,6,340,1,7,2,10.7
21-02-2010,24.4,32.8,28.2,82,7.4,7,180,3,7,2,10.3
22-02-2010,24.4,31.6,27.8,81,6.1,8,230,2,7,2,10.5
23-02-2010,25.2,33.5,28.9,79,8,9,210,3,7,2,0
24-02-2010,25,32.8,28.3,80,4,6,130,2,5,2,0
25-02-2010,24.3,32.8,28.5,82,4.2,6,130,2,6,2,4.2
26-02-2010,24.5,32.6,28.7,78,7.5,6,200,2,8,2,3.5
27-02-2010,25.6,33.2,28.9,79,5.9,7,200,2,8,2,8.33913043478261
28-02-2010,25.6,32.8,28.8,82,5.8,6,200,3,7,2,8.2
01-03-2010,24.8,32.5,28.8,83,6.1,8,270,1,5,3,5.4
02-03-2010,26.2,32.8,29.5,76,6.6,7,210,2,5,3,11.3
03-03-2010,26.1,32.6,29.5,74,3.9,6,120,2,4,3,0
04-03-2010,26.2,32.7,29.1,78,6.9,7,130,2,4,3,14.0321428571429
05-03-2010,24.4,32.6,27.6,82,4.7,6,320,2,7,3,56.3
06-03-2010,25,34.3,28.8,77,5.8,5,140,2,7,3,0
07-03-2010,26,33.6,29.1,77,8,9,320,2,7,3,14.0321428571429
08-03-2010,24.1,32.7,28,82,5.8,5,200,1,8,3,44.2
09-03-2010,25,32.8,29,79,6.7,10,230,2,8,3,0
10-03-2010,24,32.9,27.5,82,3.9,8,230,2,7,3,79.9
11-03-2010,24,31.6,27.5,81,6.5,6,110,1,4,3,12
12-03-2010,24.5,31.7,28,81,5,6,120,2,3,3,0
13-03-2010,25.3,32.4,28.7,78,7.7,7,140,2,4,3,0.3
14-03-2010,25,32.5,28.1,82,5.5,7,40,2,7,3,26.6
